21; il fatto quotidiano; 0.15902480993812157
14109; sky tg24; 0.15314696972432823
5562; la repubblica; 0.14258114063277355
13444; agenzia ansa; 0.1384821930163851
6527; beppe grillo; 0.1342881817252798
5311; s_galimberti; 0.12647288828975567
12931; rainews; 0.11979714800692007
6517; la stampa; 0.10844423131867427
268; fedez; 0.10770652230454479
4129; peter gomez; 0.10699977094377447
6304; roberto saviano; 0.10213811652385132
10611; lello esposito; 0.10028179894425429
9029; rocco scozzarella; 0.10021538749377787
6293; il post; 0.09896335535626526
11646; adnkronos; 0.09344650848783477
3762; dagospia; 0.09238650484826615
13182; tg la7; 0.08778348040957622
12719; movimento 5 stelle; 0.08408281109534
6459; max fanni canelles; 0.0828503478986974
26; tgcom24; 0.08207467076176535
9467; solomestesso; 0.08058348182815474
9927; linkiesta; 0.07999138939222436
1875; antonio bordin; 0.07817984317363244
7489; matteo salvini; 0.07768014581129373
10440; pamela ferrara ㋡; 0.07600813873494683
9242; giorgio giorgetti; 0.07553152854730978
5554; informazione pura; 0.07464583059316579
14573; ☆.friendsm5s.com; 0.07438340584721818
16129; piovegovernoladro; 0.07424177765245879
10738; trastevere; 0.07311205062676851
8648; franco maria fontana; 0.07115955976862201
14665; re sole; 0.06974804585687477
9865; alessandro meluzzi; 0.0691254154688588
1847; teladoiolanius; 0.06780328964580319
4724; mc79; 0.06644227770905455
10454; marpicoll; 0.0654094717678846
9317; vittorio zucconi; 0.0645751957108407
4832; lettera43; 0.06452253341808661
1542; ghita iacono; 0.06450752713776696
14649; luca telese; 0.06360719326060857
5184; roberta cretella; 0.0634601245463386
12724; nicola morra; 0.06307523958228259
1994; francesco mosca; 0.06231675475188942
37; laura boldrini; 0.06209131555862228
5170; roberto fico; 0.06121891233510108
9036; giornalettismo; 0.06119702234282438
10663; giacinto bruno; 0.06101503271892173
2960; rtl 102.5; 0.06080905680825668
1372; agi agenzia italia; 0.060472415695466596
6422; comandante nebbia; 0.059541972806359936
1857; marco leoneن #noeuro; 0.059507714072764374
4318; valeria s.; 0.05930803712797488
15848; m5s camera; 0.05890537649961634
8647; $pazio€conomia; 0.0586441468829224
8059; vincenzo cannova; 0.05817849615768699
3753; ilmessaggero; 0.058068178558577294
4723; andrea franchini; 0.057903020234911305
1511; don alfonso; 0.057593240032335756
1981; algoritmo claudia; 0.05756897186080989
7983; angelo tofalo; 0.057461263674566644
5230; giulia di vita; 0.05620202351497166
1554; sonia oliva; 0.05620046351120298
1454; kilgore; 0.05570230809573798
13127; ferrari silvia; 0.055088883146020166
10274; camera dei deputati; 0.054873808844066334
9925; tg3; 0.05486169230354656
17402; il fatto live; 0.05428190159135207
1544; carlo alterego; 0.05421586909420673
1546; liviana; 0.05385420354015488
4844; carla ruocco; 0.053813658707925004
1701; nichi vendola; 0.053662831769324855
6622; carlo sibilia; 0.05292106218577505
6437; serena🌟mente; 0.052826068372988436
8625; iovotonoreferendum; 0.05280790936274463
9311; 1001portails italia; 0.05278205950686206
4586; sere accozzaglia; 0.05176849486757088
1844; elio lannutti; 0.05169045689900185
1460; ig end; 0.05135176855883249
1988; maurizio sia; 0.051236805999727644
1989; mauro barin; 0.05119038048498859
6436; rai3; 0.0511799112590439
4124; tweetpolitica; 0.05100320935415015
14319; massimo giordani; 0.05093591441474265
2099; x factor; 0.05068139861956557
33; addio fuffone; 0.05031438007405865
4063; il saggio iovotono; 0.05012727890333716
4045; notizieinunclick; 0.04990384312154511
4473; madai; 0.04969364412652204
14669; il foglio; 0.04921617964854723
11481; valerio staffelli; 0.04909475177991977
15735; dukascopy news (it); 0.048907959135750544
281; benji 0+; 0.047645402721576934
4848; claudio borghi a.; 0.047602241050203116
1870; luigi ruggerone; 0.04755836162028193
7985; franco poletti; 0.047484643477855804
12596; dario franceschini; 0.047250317196120065
4314; paolo _rm; 0.047036347476971635
9037; renzo mattei; 0.046840149623985194
1997; kid stardust; 0.046285941709545655
290; arsenale k; 0.04619219201586166
5310; marco; 0.04600389313647876
10455; pat; 0.0459848050242211
4725; the ultimate warrior; 0.04549655816693256
5321; claudio degl'innocen; 0.045301421437284814
1846; giuseppe fini; 0.04512025898466332
1547; ritwitto accozzaglie; 0.044449849363008866
3781; l'unità; 0.04424994291915171
5180; m5s europa; 0.044238430574109075
4059; daniela pepe; 0.044132480404325464
1982; fabiomassimocastaldo; 0.04400471471953031
9608; marcello grando; 0.04386190251667053
15510; alessandro del piero; 0.04386018856342321
10963; leonardo decarli; 0.04380117856920583
2110; nonleggerlo; 0.043431413005995685
4170; guido crosetto; 0.0430488524005817
16987; chetempochefa; 0.04286522064336837
9610; attacchi di panza; 0.04271891566130302
6301; blitz quotidiano; 0.04268201026472589
4139; il manifesto; 0.04249595497051244
1928; luisa loffredo; 0.04218327362371077
1868; stop alla casta ™; 0.04190934903700276
2005; stefano curti; 0.04179070213729091
4729; salvatore varchetta; 0.04141004659932687
1775; marco ferrario; 0.04055795229558307
1851; enrico.; 0.040416231343309725
9093; radio 24; 0.04037612625090346
9312; enrico verga; 0.04017934034966769
1866; roberto savocacorona; 0.0401537442902836
4322; ★ francesca ★; 0.0400435462191284
4141; francesco storace; 0.03999026898210358
1944; claudio pellegrini; 0.03980795822762557
6290; pierluigi battista; 0.03970408006282052
4060; accozzaglia jo; 0.039605893797932966
7955; magdicristiano allam; 0.03960526379235082
1923; ben-autoctona - *no*; 0.03951646914316073
4862; renato brunetta; 0.038964851868657634
6320; patrizia rametta; 0.03865202254350124
9874; horas chinappi; 0.03849951234979724
4126; algoritmo franco; 0.03839898718688194
